id	text	labels	labels_phrases
0	Gemütliche Atmung und rustikale Deko an Wänden.	['(AMBIENCE, POSITIVE)', '(AMBIENCE, POSITIVE)']	"['(AMBIENCE, POSITIVE, ""Atmung"")', '(AMBIENCE, POSITIVE, ""Deko an Wänden"")']"
1	Zum Servicepersonal, der Küche und dem „Chef im Ring“ bleibt zu sagen: umsichtig, freundlich und gut eingestimmt machten uns die Stunden im Biergarten recht viel Freude!	['(SERVICE, POSITIVE)', '(SERVICE, POSITIVE)']	"['(SERVICE, POSITIVE, ""Servicepersonal"")', '(SERVICE, POSITIVE, ""Chef im Ring"")']"
2	Der Burger total durchgebraten und trocken.	['(FOOD, NEGATIVE)']	"['(FOOD, NEGATIVE, ""Burger"")']"
3	Wie kann ein Betrieb der uns immer gut gefallen hat, so schnell 3 klassig werden.	['(GENERAL-IMPRESSION, NEGATIVE)']	"['(GENERAL-IMPRESSION, NEGATIVE, ""Betrieb"")']"
4	Das Ambiente ist charmant, das Essen köstlich und das Personal freundlich.	['(AMBIENCE, POSITIVE)', '(FOOD, POSITIVE)', '(SERVICE, POSITIVE)']	"['(AMBIENCE, POSITIVE, ""Ambiente"")', '(FOOD, POSITIVE, ""Essen"")', '(SERVICE, POSITIVE, ""Personal"")']"
5	Preislich vollkommen okay Immer wieder gern.	['(GENERAL-IMPRESSION, POSITIVE)', '(PRICE, NEUTRAL)']	"['(GENERAL-IMPRESSION, POSITIVE, ""NULL"")', '(PRICE, NEUTRAL, ""NULL"")']"
6	Der Kellner läuft planlos durch die Gegend und wirkt überfordert.	['(SERVICE, NEGATIVE)']	"['(SERVICE, NEGATIVE, ""Kellner"")']"
7	Mein Besuch mit einer Gruppe von 16 Personen war sehr angenehm.	['(GENERAL-IMPRESSION, POSITIVE)']	"['(GENERAL-IMPRESSION, POSITIVE, ""NULL"")']"
8	Das Personal war wirklich sehr nett.	['(SERVICE, POSITIVE)']	"['(SERVICE, POSITIVE, ""Personal"")']"
9	Für das Essen 5 von 5 Sternen- war lecker und reichlich, Preislich etwas angehoben.	['(FOOD, POSITIVE)', '(PRICE, NEGATIVE)']	"['(FOOD, POSITIVE, ""Essen"")', '(PRICE, NEGATIVE, ""NULL"")']"
10	Ebenso schwammen die Bratkartoffeln im Fett, von Speck nur ein Hauch erfahrbar.	['(FOOD, NEGATIVE)', '(FOOD, NEGATIVE)']	"['(FOOD, NEGATIVE, ""Bratkartoffeln"")', '(FOOD, NEGATIVE, ""Speck"")']"
11	Der Wein eher gewöhnungsbedürftig!	['(FOOD, NEGATIVE)']	"['(FOOD, NEGATIVE, ""Wein"")']"
12	7/10 fürs Essen.	['(FOOD, POSITIVE)']	"['(FOOD, POSITIVE, ""Essen"")']"
13	Im Vergleich zum Personal im Schlüssel und LOC bleibt das Uerige aber doch zurück.	['(GENERAL-IMPRESSION, NEGATIVE)']	"['(GENERAL-IMPRESSION, NEGATIVE, ""Uerige"")']"
14	Immer gerne wieder!	['(GENERAL-IMPRESSION, POSITIVE)']	"['(GENERAL-IMPRESSION, POSITIVE, ""NULL"")']"
15	Bei den Preisen kann man mehr erwarten.	['(PRICE, NEGATIVE)']	"['(PRICE, NEGATIVE, ""Preisen"")']"
16	Es gab absolut nichts zu beanstanden und wir haben uns rundum wohl gefühlt.	['(GENERAL-IMPRESSION, POSITIVE)']	"['(GENERAL-IMPRESSION, POSITIVE, ""NULL"")']"
17	Vorspeise war zwar sehr lecker und kam nach ca.	['(FOOD, POSITIVE)']	"['(FOOD, POSITIVE, ""Vorspeise"")']"
18	Solide und gute Schwäbische Küche und freundliches und aufmerksames Personal.	['(FOOD, POSITIVE)', '(SERVICE, POSITIVE)']	"['(FOOD, POSITIVE, ""Küche"")', '(SERVICE, POSITIVE, ""Personal"")']"
19	Außerdem sind die Pizzen wirklich groß und es gibt nur die eine Größe, sodass man für die einfachste Pizza schon 9 Euro zahlt.	['(PRICE, NEGATIVE)', '(FOOD, NEGATIVE)']	"['(PRICE, NEGATIVE, ""Pizza"")', '(FOOD, NEGATIVE, ""NULL"")']"
20	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an!!	['(SERVICE, NEGATIVE)']	"['(SERVICE, NEGATIVE, ""Kellner"")']"
21	Unterirdisch.	['(GENERAL-IMPRESSION, NEGATIVE)']	"['(GENERAL-IMPRESSION, NEGATIVE, ""NULL"")']"
22	Speise- und Getränkekarten waren heute Mangelware.	['(SERVICE, NEGATIVE)']	"['(SERVICE, NEGATIVE, ""Speise- und Getränkekarten"")']"
23	Sehr freundlich, auch zu unserem Hund.	['(SERVICE, POSITIVE)']	"['(SERVICE, POSITIVE, ""freundlich"")']"
24	Was ganz besonderes in LOC.	['(GENERAL-IMPRESSION, POSITIVE)']	"['(GENERAL-IMPRESSION, POSITIVE, ""NULL"")']"
25	Das Trinkgeld steht aber mit auf dem Kassenbon...Auf alle Faelle sind die Preise ein echter Hammer - 4,20 EUR fuer einen Tee ist schon dekadent	['(PRICE, NEGATIVE)', '(PRICE, NEGATIVE)']	"['(PRICE, NEGATIVE, ""Preise"")', '(PRICE, NEGATIVE, ""Tee"")']"
26	Beilagensalat klein, kaum Dressung und lieblos.	['(FOOD, NEGATIVE)', '(FOOD, NEGATIVE)']	"['(FOOD, NEGATIVE, ""Beilagensalat"")', '(FOOD, NEGATIVE, ""Dressung"")']"
