id	text	labels	labels_phrases	original_text
0	Si l'on en juge par les messages précédents, il s'agissait autrefois d'un bon endroit, mais ce n'est plus le cas aujourd'hui.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""lieu"")']"	Judging from previous posts this used to be a good place, but not any longer.
1	Nous sommes arrivés à midi - l'endroit était vide - et le personnel s'est comporté comme si nous lui imposions quelque chose et s'est montré très impoli.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""le personnel"")']"	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
2	Ils ne nous ont jamais apporté de nouilles gratuites, ont ignoré nos demandes répétées de sucre et ont jeté nos plats sur la table.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""NULL"")']"	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
3	La nourriture était médiocre - trop sucrée ou trop salée et les portions minuscules.	['(FOOD#QUALITY, NEGATIVE)', '(FOOD#STYLE_OPTIONS, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""nourriture"")', '(FOOD#STYLE_OPTIONS, NEGATIVE, ""portions"")']"	The food was lousy - too sweet or too salty and the portions tiny.
4	Après tout cela, ils se sont plaints auprès de moi de la modicité du pourboire.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""NULL"")']"	After all that, they complained to me about the small tip.
5	Évitez cet endroit !	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""lieu"")']"	Avoid this place!
6	J'ai mangé à Saul à de nombreuses reprises et la nourriture y est toujours incroyablement bonne.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""nourriture"")']"	I have eaten at Saul, many times, the food is always consistently, outrageously good.
7	Saul est le meilleur restaurant de Smith Street et de Brooklyn.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""Saul"")']"	Saul is the best restaurant on Smith Street and in Brooklyn.
8	Le confit de canard est toujours extraordinaire et la terrine de foie gras aux figues était hors du commun.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""terrine de foie gras aux figues"")', '(FOOD#QUALITY, POSITIVE, ""confit de canard"")']"	The duck confit is always amazing and the foie gras terrine with figs was out of this world.
9	La carte des vins est intéressante et présente de nombreuses valeurs sûres.	['(DRINKS#STYLE_OPTIONS, POSITIVE)', '(DRINKS#PRICES, POSITIVE)']	"['(DRINKS#STYLE_OPTIONS, POSITIVE, ""carte des vins"")', '(DRINKS#PRICES, POSITIVE, ""carte des vins"")']"	The wine list is interesting and has many good values.
10	Pour le prix, on ne peut pas manger aussi bien à Manhattan.	['(RESTAURANT#PRICES, POSITIVE)', '(FOOD#QUALITY, POSITIVE)']	"['(RESTAURANT#PRICES, POSITIVE, ""NULL"")', '(FOOD#QUALITY, POSITIVE, ""NULL"")']"	For the price, you cannot eat this well in Manhattan.
11	J'ai été très déçue par ce restaurant.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""restaurant"")']"	I was very disappointed with this restaurant.
12	J'ai demandé à une préposée au chariot un riz enveloppé d'une feuille de lotus et elle m'a répondu riz et s'est éloignée.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""préposé aux chariots"")']"	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.
13	J'ai dû lui demander trois fois avant qu'elle ne revienne avec le plat que j'avais demandé.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""NULL"")']"	I had to ask her three times before she finally came back with the dish Ive requested.
14	La nourriture était correcte, rien d'extraordinaire.	['(FOOD#QUALITY, NEUTRAL)']	"['(FOOD#QUALITY, NEUTRAL, ""Alimentation"")']"	Food was okay, nothing great.
