id	text	labels	labels_phrases	original_text
0	A juzgar por los mensajes anteriores, éste solía ser un buen lugar, pero ya no.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""lugar"")']"	Judging from previous posts this used to be a good place, but not any longer.
1	Nosotros, éramos cuatro, llegamos al mediodía -el lugar estaba vacío- y el personal actuó como si les estuviéramos imponiendo y fueron muy groseros.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""personal"")']"	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
2	Nunca nos trajeron fideos de cortesía, ignoraron las repetidas peticiones de azúcar y tiraron nuestros platos a la mesa.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""NULL"")']"	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
3	La comida era pésima: demasiado dulce o demasiado salada y las raciones minúsculas.	['(FOOD#QUALITY, NEGATIVE)', '(FOOD#STYLE_OPTIONS, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""alimentos"")', '(FOOD#STYLE_OPTIONS, NEGATIVE, ""porciones"")']"	The food was lousy - too sweet or too salty and the portions tiny.
4	Después de todo eso, se quejaron conmigo por la pequeña propina.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""NULL"")']"	After all that, they complained to me about the small tip.
5	¡Eviten este lugar!	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""lugar"")']"	Avoid this place!
6	He comido en Saul, muchas veces, la comida es siempre consistente, escandalosamente buena.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""alimentos"")']"	I have eaten at Saul, many times, the food is always consistently, outrageously good.
7	Saul es el mejor restaurante de Smith Street y de Brooklyn.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""Saúl"")']"	Saul is the best restaurant on Smith Street and in Brooklyn.
8	El confit de pato siempre es increíble y la terrina de foie gras con higos era de otro mundo.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""terrina de foie gras con higos"")', '(FOOD#QUALITY, POSITIVE, ""confit de pato"")']"	The duck confit is always amazing and the foie gras terrine with figs was out of this world.
9	La carta de vinos es interesante y tiene muchos buenos valores.	['(DRINKS#STYLE_OPTIONS, POSITIVE)', '(DRINKS#PRICES, POSITIVE)']	"['(DRINKS#STYLE_OPTIONS, POSITIVE, ""lista de vinos"")', '(DRINKS#PRICES, POSITIVE, ""lista de vinos"")']"	The wine list is interesting and has many good values.
