text	labels
Ich fand es sehr solide in puncto Service, Ambiente und Auswahl an Speisen und Getränken.	['(SERVICE#GENERAL, POSITIVE)', '(AMBIENCE#GENERAL, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)', '(DRINKS#STYLE_OPTIONS, POSITIVE)']
Bravo, wir kommen gerne wieder	['(RESTAURANT#GENERAL, POSITIVE)']
Wir können nur jedem abraten dort essen zu gehen, der sich eine gute Qualität erhofft!	['(FOOD#QUALITY, NEGATIVE)']
Wir waren mit unserem Besuch vollsten zufrieden.	['(RESTAURANT#GENERAL, POSITIVE)']
Wir hatten einen super Abend hier in der RESTAURANT_NAME.	['(RESTAURANT#GENERAL, POSITIVE)']
Mehrere sehr junge Kellnerinnen waren im Außenbereich, nur war es schwer, eine Bestellung abzugeben, da sich niemand zuständig fühlte.	['(SERVICE#GENERAL, NEGATIVE)']
Für uns steht klar ,es war das erste und letzte mal .	['(RESTAURANT#GENERAL, NEGATIVE)']
Eine typische Touristenlocation die von ihrem Mythos lebt.	['(RESTAURANT#MISCELLANEOUS, POSITIVE)']
Die Gerichte waren aber keine Highlights - schmackhaft, solide ... gut!	['(FOOD#QUALITY, POSITIVE)']
Das Essen gegenüber im LOC war hervorragend.	['(FOOD#QUALITY, POSITIVE)']
Das Bier im RESTAURANT_NAME ist einfach top.	['(DRINKS#QUALITY, POSITIVE)']
Es wurde alles frisch zubereitet und nach der Bestellung zügig an den Tisch gebracht.	['(FOOD#QUALITY, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)']
Tolles Essen, kompetentes Personal und gemütliches Ambiente… Ein gelungener Abend für uns und absolut weiterzuempfehlen!!	['(FOOD#QUALITY, POSITIVE)', '(AMBIENCE#GENERAL, POSITIVE)', '(RESTAURANT#GENERAL, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)']
Wir wurden besonders schlecht bedient, damit angefangen hat es, dass wir das Brot als Vorspeise bekommen haben, nachdem wir bereis unsere Hauptspeise erhalten haben.	['(SERVICE#GENERAL, NEGATIVE)']
Die bestellten Biersorten waren lecker!	['(DRINKS#QUALITY, POSITIVE)']
Da war dann immer noch ordentlich Salz drin, aber es war essbar.	['(FOOD#QUALITY, NEUTRAL)']
Wir sind immer wieder gerne zu Gast in der RESTAURANT_NAME :)	['(RESTAURANT#GENERAL, POSITIVE)']
Die Qualität hat nachgelassen.	['(RESTAURANT#GENERAL, NEGATIVE)']
Das Restaurant im Keller war toll und gut besucht.	['(RESTAURANT#GENERAL, POSITIVE)']
Fazit: Irgendwas läuft in dem Laden nicht rund.	['(RESTAURANT#GENERAL, NEGATIVE)']
