id	text	labels	labels_phrases
0	Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto	['(SERVICE#GENERAL, NEUTRAL)', '(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)', '(RESTAURANT#PRICES, NEUTRAL)', '(FOOD#QUALITY, NEGATIVE)', '(RESTAURANT#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEUTRAL, ""service"")', '(FOOD#QUALITY, NEGATIVE, ""plats"")', '(FOOD#QUALITY, NEGATIVE, ""sauces"")', '(RESTAURANT#PRICES, NEUTRAL, ""NULL"")', '(FOOD#QUALITY, NEGATIVE, ""NULL"")', '(RESTAURANT#GENERAL, NEGATIVE, ""resto"")']"
1	Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service.	['(AMBIENCE#GENERAL, POSITIVE)', '(LOCATION#GENERAL, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)']	"['(AMBIENCE#GENERAL, POSITIVE, ""ambiance"")', '(LOCATION#GENERAL, POSITIVE, ""promenade"")', '(SERVICE#GENERAL, POSITIVE, ""service"")']"
2	Nous reviendrons!	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"
3	on s'attendait à mieux (attente, qualité moyenne).	['(SERVICE#GENERAL, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""attente"")', '(FOOD#QUALITY, NEGATIVE, ""NULL"")']"
4	Pas mal, mais sans plus.	['(RESTAURANT#GENERAL, NEUTRAL)']	"['(RESTAURANT#GENERAL, NEUTRAL, ""NULL"")']"
5	Nous ne pensons pas y retourner	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""NULL"")']"
6	Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire	['(RESTAURANT#GENERAL, POSITIVE)', '(LOCATION#GENERAL, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""adresse"")', '(LOCATION#GENERAL, POSITIVE, ""vue"")', '(FOOD#QUALITY, POSITIVE, ""cuisine"")', '(SERVICE#GENERAL, POSITIVE, ""service"")']"
7	Une petite dame nous accueille sans le sourire mais surtout sans enthousiasme, ça devait l'énerver d'avoir des clients un mardi soir .... 3 tables.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""NULL"")']"
8	On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !	['(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""lasagnes"")', '(FOOD#QUALITY, NEGATIVE, ""fromage"")', '(FOOD#QUALITY, NEGATIVE, ""concentré de tomates"")']"
9	Dessert tout sauf maison .... !	['(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""Dessert"")']"
