id	text	labels	labels_phrases	original_text
0	Nach den bisherigen Beiträgen zu urteilen, war dies früher ein guter Ort, aber jetzt nicht mehr.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""Ort"")']"	Judging from previous posts this used to be a good place, but not any longer.
1	Wir waren zu viert, kamen mittags an - das Lokal war leer - und das Personal benahm sich, als ob wir uns aufdrängen würden, und war sehr unhöflich.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""Mitarbeiter"")']"	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
2	Sie brachten uns nie kostenlose Nudeln, ignorierten die wiederholte Bitte um Zucker und warfen unser Geschirr auf den Tisch.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""NULL"")']"	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
3	Das Essen war lausig - zu süß oder zu salzig und die Portionen winzig.	['(FOOD#QUALITY, NEGATIVE)', '(FOOD#STYLE_OPTIONS, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""Lebensmittel"")', '(FOOD#STYLE_OPTIONS, NEGATIVE, ""Portionen"")']"	The food was lousy - too sweet or too salty and the portions tiny.
4	Nach all dem beschwerten sie sich bei mir über das kleine Trinkgeld.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""NULL"")']"	After all that, they complained to me about the small tip.
5	Meiden Sie diesen Ort!	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""Ort"")']"	Avoid this place!
6	Ich habe schon oft im Saul gegessen, und das Essen ist immer gleichbleibend, unverschämt gut.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Lebensmittel"")']"	I have eaten at Saul, many times, the food is always consistently, outrageously good.
7	Saul ist das beste Restaurant in der Smith Street und in Brooklyn.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""Saul"")']"	Saul is the best restaurant on Smith Street and in Brooklyn.
8	Das Entenconfit ist immer wieder erstaunlich, und die Gänseleberterrine mit Feigen war nicht von dieser Welt.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Gänsestopfleberterrine mit Feigen"")', '(FOOD#QUALITY, POSITIVE, ""Entenconfit"")']"	The duck confit is always amazing and the foie gras terrine with figs was out of this world.
9	Die Weinkarte ist interessant und bietet viele gute Tropfen.	['(DRINKS#STYLE_OPTIONS, POSITIVE)', '(DRINKS#PRICES, POSITIVE)']	"['(DRINKS#STYLE_OPTIONS, POSITIVE, ""Weinkarte"")', '(DRINKS#PRICES, POSITIVE, ""Weinkarte"")']"	The wine list is interesting and has many good values.
10	Für den Preis kann man in Manhattan nicht so gut essen.	['(RESTAURANT#PRICES, POSITIVE)', '(FOOD#QUALITY, POSITIVE)']	"['(RESTAURANT#PRICES, POSITIVE, ""NULL"")', '(FOOD#QUALITY, POSITIVE, ""NULL"")']"	For the price, you cannot eat this well in Manhattan.
11	Ich war sehr enttäuscht von diesem Restaurant.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""Restaurant"")']"	I was very disappointed with this restaurant.
12	"Ich habe eine Verkäuferin um einen mit Lotusblättern umwickelten Reis gebeten, und sie antwortete: ""Reis"" und ging einfach weg."	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""Wagenbegleiter"")']"	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.
13	Ich musste dreimal nachfragen, bis sie endlich mit dem gewünschten Gericht zurückkam.	['(SERVICE#GENERAL, NEGATIVE)']	"['(SERVICE#GENERAL, NEGATIVE, ""NULL"")']"	I had to ask her three times before she finally came back with the dish Ive requested.
14	Das Essen war okay, nichts Großartiges.	['(FOOD#QUALITY, NEUTRAL)']	"['(FOOD#QUALITY, NEUTRAL, ""Lebensmittel"")']"	Food was okay, nothing great.
15	Das Chow Fun war trocken; das Schweinefleisch Shu Mai war mehr als gewöhnlich fettig, und wir mussten einen Tisch mit einer lauten und unhöflichen Familie teilen.	['(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)', '(RESTAURANT#MISCELLANEOUS, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""Chow Spaß"")', '(FOOD#QUALITY, NEGATIVE, ""Schweinefleisch Shu Mai"")', '(RESTAURANT#MISCELLANEOUS, NEGATIVE, ""NULL"")']"	Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 
16	Ich/wir werden diesen Ort nie wieder aufsuchen.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""Ort"")']"	I/we will never go back to this place again.
17	Ich war auf einem 3-tägigen Austern-Rausch, mit Fisch als Abschluss, und ich bin so froh, dass dies der Ort war, an dem die Reise endete, weil es so toll war!	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""Fisch"")']"	Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!
18	Der Service war göttlich, die Austern waren so sinnlich wie sie nur sein können, und der Preis ist unschlagbar!!!	['(SERVICE#GENERAL, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(RESTAURANT#PRICES, POSITIVE)']	"['(SERVICE#GENERAL, POSITIVE, ""Dienst"")', '(FOOD#QUALITY, POSITIVE, ""Austern"")', '(RESTAURANT#PRICES, POSITIVE, ""NULL"")']"	Service was devine, oysters where a sensual as they come, and the price can't be beat!!!
19	Hier können Sie nichts falsch machen.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	You can't go wrong here.
20	Jedes Mal, wenn ich in New York bin, muss ich unbedingt das Restaurant Saul in der Smith Street besuchen.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""Restaurant Saul"")']"	Every time in New York I make it a point to visit Restaurant Saul on Smith Street.
21	Alles wird immer perfekt zubereitet, der Service ist ausgezeichnet, die Einrichtung ist kühl und dezent.	['(FOOD#QUALITY, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)', '(AMBIENCE#GENERAL, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""NULL"")', '(SERVICE#GENERAL, POSITIVE, ""Dienstleistung"")', '(AMBIENCE#GENERAL, POSITIVE, ""Dekor"")']"	Everything is always cooked to perfection, the service is excellent, the decor cool and understated.
22	Bei meinem letzten Besuch hatte ich die Entenbrust-Spezialität und sie war unglaublich.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Entenbrust Spezial"")']"	I had the duck breast special on my last visit and it was incredible.
23	Ich kann meinen nächsten Besuch kaum erwarten.	['(RESTAURANT#GENERAL, POSITIVE)']	"['(RESTAURANT#GENERAL, POSITIVE, ""NULL"")']"	Can't wait wait for my next visit.
24	Und ich sage das nur ungern, aber ich bezweifle, dass ich jemals zurückkehren werde.	['(RESTAURANT#GENERAL, NEGATIVE)']	"['(RESTAURANT#GENERAL, NEGATIVE, ""NULL"")']"	And I hate to say this but I doubt I'll ever go back. 
25	Das Essen ist sehr durchschnittlich... das Thai-Fusion-Zeug ist ein bisschen zu süß, alles, was sie hier servieren, ist zu süß.	['(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)']	"['(FOOD#QUALITY, NEGATIVE, ""Lebensmittel"")', '(FOOD#QUALITY, NEGATIVE, ""Thailändische Fusionsprodukte"")', '(FOOD#QUALITY, NEGATIVE, ""NULL"")']"	The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.
26	Das Einzige, was mir einigermaßen gefiel, war das gegrillte Hähnchen mit Edamame-Püree.	['(FOOD#QUALITY, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Gegrilltes Hähnchen-Spezial mit Edamame-Püree"")']"	The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.
27	Ich hatte noch nie zuvor pürierte Edamame gegessen, fand sie aber innovativ und schmackhaft (hätte etwas mehr Salz vertragen können).	['(FOOD#QUALITY, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)']	"['(FOOD#QUALITY, POSITIVE, ""Edamame püriert"")', '(FOOD#STYLE_OPTIONS, POSITIVE, ""Edamame püriert"")']"	I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
28	Die Einrichtung ist Nacht tho... aber sie müssen WIRKLICH zu reinigen, dass Entlüftung in der Decke... seine ziemlich un-appetitlich, und tötet Ihre Bemühungen um diesen Ort aussehen schlank und modern.	['(AMBIENCE#GENERAL, NEGATIVE)', '(AMBIENCE#GENERAL, POSITIVE)', '(AMBIENCE#GENERAL, NEGATIVE)']	"['(AMBIENCE#GENERAL, NEGATIVE, ""Ort"")', '(AMBIENCE#GENERAL, POSITIVE, ""Dekor"")', '(AMBIENCE#GENERAL, NEGATIVE, ""Entlüftung"")']"	The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.
