id	text	labels	labels_phrases
9	Für das Essen 5 von 5 Sternen- war lecker und reichlich, Preislich etwas angehoben.	['(FOOD, POSITIVE)', '(PRICE, NEGATIVE)']	"['(FOOD, POSITIVE, ""Essen"")', '(PRICE, NEGATIVE, ""NULL"")']"
34	Mein Rollo war so ungewürzt … unsere Freunde ließen eine Pfannen-Spezialität des Hauses nach der Hälfte stehen (sonst sei dieses Gericht wirklich gut).	['(FOOD, NEGATIVE)', '(FOOD, NEGATIVE)']	"['(FOOD, NEGATIVE, ""Rollo"")', '(FOOD, NEGATIVE, ""Pfannen-Spezialität"")']"
40	Das LOC ist sehr zu empfehlen und war perfekt Medium Rare.	['(FOOD, POSITIVE)']	"['(FOOD, POSITIVE, ""LOC"")']"
75	Der sehr forsche, eher unfreundliche Service rundet das Erlebnis nach unten ab.	['(SERVICE, NEGATIVE)', '(GENERAL-IMPRESSION, NEGATIVE)']	"['(SERVICE, NEGATIVE, ""Service"")', '(GENERAL-IMPRESSION, NEGATIVE, ""NULL"")']"
76	Ansonsten will ich zugute halten, dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind.	['(PRICE, POSITIVE)']	"['(PRICE, POSITIVE, ""Preise"")']"
81	Wir waren an 2 Abende in dieser netten Location und haben mitnetten Freunden ein hervorragendes Menü gegessen.	['(FOOD, POSITIVE)', '(AMBIENCE, POSITIVE)']	"['(FOOD, POSITIVE, ""Menü"")', '(AMBIENCE, POSITIVE, ""Location"")']"
88	Das Kartoffelgratin war ebenfalls von trockener Konsistenz.	['(FOOD, NEGATIVE)']	"['(FOOD, NEGATIVE, ""Kartoffelgratin"")']"
92	Ich hatte am 10.07.2023 meinen Geburtstag in der RESTAURANT_NAME gefeiert, die Kellner waren sehr aufmerksam und das Essen ein Traum, ich kann es nur weiterempfehlen.	['(SERVICE, POSITIVE)', '(FOOD, POSITIVE)', '(GENERAL-IMPRESSION, POSITIVE)']	"['(SERVICE, POSITIVE, ""Kellner"")', '(FOOD, POSITIVE, ""Essen"")', '(GENERAL-IMPRESSION, POSITIVE, ""NULL"")']"
132	Unsere Reservierung wurde verplant.	['(SERVICE, NEGATIVE)']	"['(SERVICE, NEGATIVE, ""Reservierung"")']"
154	Absolut schlechte Küche!	['(FOOD, NEGATIVE)']	"['(FOOD, NEGATIVE, ""Küche"")']"
175	Wir waren heute zum zweiten Mal da, das erste Mal war wirklich traumhaft.	['(GENERAL-IMPRESSION, POSITIVE)']	"['(GENERAL-IMPRESSION, POSITIVE, ""NULL"")']"
180	Man bekommt nicht mal das Essen was bestellt wurde.	['(SERVICE, NEGATIVE)']	"['(SERVICE, NEGATIVE, ""NULL"")']"
214	Die Gamba waren kalt und kaum aus der Schale zu lösen.	['(FOOD, NEGATIVE)']	"['(FOOD, NEGATIVE, ""Gamba"")']"
222	Wir sind ganz zufällig dort gelandet und waren begeistert.	['(GENERAL-IMPRESSION, POSITIVE)']	"['(GENERAL-IMPRESSION, POSITIVE, ""NULL"")']"
256	So einen schlechten Service hatten wir noch nicht erlebt.	['(SERVICE, NEGATIVE)']	"['(SERVICE, NEGATIVE, ""Service"")']"
277	!Einziger Abzug: Sauberkeit der Toiletten…	['(AMBIENCE, NEGATIVE)']	"['(AMBIENCE, NEGATIVE, ""Sauberkeit der Toiletten"")']"
297	Klassische Gerichte modern angerichtet.	['(FOOD, POSITIVE)']	"['(FOOD, POSITIVE, ""Gerichte"")']"
303	Als wir bezahleenn wollten, war sie auch wieder nicht auffindbar, dann bekamen wir endlich die Rechnung und sie war wieder weg, bis wir dann endlich bezahlen konnten.	['(SERVICE, NEGATIVE)']	"['(SERVICE, NEGATIVE, ""NULL"")']"
335	Der Lachs war gut, auf den Punkt gegrillt, daran gab es nicht auszusetzen!	['(FOOD, POSITIVE)']	"['(FOOD, POSITIVE, ""Lachs"")']"
343	Gute Qualität der Speisen und der Empfehlungen.	['(FOOD, POSITIVE)']	"['(FOOD, POSITIVE, ""Speisen"")']"
383	Wir haben mehrmalls die Bedienung um Bestellung gebitten, Allerdings haben diese nicht einmal reagiert.	['(SERVICE, NEGATIVE)']	"['(SERVICE, NEGATIVE, ""Bedienung"")']"
390	Die Qualität hat nachgelassen.	['(GENERAL-IMPRESSION, NEGATIVE)']	"['(GENERAL-IMPRESSION, NEGATIVE, ""NULL"")']"
400	Wir fühlten uns sehr gestört und unwohl.	['(AMBIENCE, NEGATIVE)']	"['(AMBIENCE, NEGATIVE, ""NULL"")']"
405	Gerne beim nächsten Besuch in LOC wieder.	['(GENERAL-IMPRESSION, POSITIVE)']	"['(GENERAL-IMPRESSION, POSITIVE, ""NULL"")']"
416	Ein sehr gemütliches italienisches Restaurant mit Flair und fleißigem Personal.	['(AMBIENCE, POSITIVE)', '(SERVICE, POSITIVE)']	"['(AMBIENCE, POSITIVE, ""Restaurant"")', '(SERVICE, POSITIVE, ""Personal"")']"
422	Selbst unter Corona hatte das Restaurant sein Level gehalten.	['(GENERAL-IMPRESSION, POSITIVE)']	"['(GENERAL-IMPRESSION, POSITIVE, ""Restaurant"")']"
445	Ich habe schon deutlich besser gegessen und nur die Hälfte bezahlt.	['(PRICE, NEGATIVE)', '(FOOD, NEGATIVE)']	"['(PRICE, NEGATIVE, ""NULL"")', '(FOOD, NEGATIVE, ""NULL"")']"
448	Wer in LOC unterwegs ist, der kann die DAMPFE ohne Bedenken in seine Reiseplanung einbeziehen.	['(GENERAL-IMPRESSION, POSITIVE)']	"['(GENERAL-IMPRESSION, POSITIVE, ""DAMPFE"")']"
470	Das Essen und der Service ist immer ausgezeichnet.	['(FOOD, POSITIVE)', '(SERVICE, POSITIVE)']	"['(FOOD, POSITIVE, ""Essen"")', '(SERVICE, POSITIVE, ""Service"")']"
490	Allerdings mussten wir noch weitere 30 Minuten bis zur Lieferung warten.	['(SERVICE, NEGATIVE)']	"['(SERVICE, NEGATIVE, ""Lieferung"")']"
512	Niemand war zuständig.	['(SERVICE, NEGATIVE)']	"['(SERVICE, NEGATIVE, ""NULL"")']"
541	Leider war das Personal völlig überfordert, denn wir mußten fast 25 Minuten warten, bis jemand eine Bestellung aufnehmen konnte.	['(SERVICE, NEGATIVE)']	"['(SERVICE, NEGATIVE, ""Personal"")']"
568	Schade.	['(GENERAL-IMPRESSION, NEGATIVE)']	"['(GENERAL-IMPRESSION, NEGATIVE, ""NULL"")']"
576	LOC, tolles Essen, und nette Bedienung.	['(FOOD, POSITIVE)', '(SERVICE, POSITIVE)']	"['(FOOD, POSITIVE, ""Essen"")', '(SERVICE, POSITIVE, ""Bedienung"")']"
578	Leider hat die Qualität massiv nachgelassen und der Preis 7,10€ hat sich fast verdoppelt, die haben wohl den Knall nicht gehört und denn rennen einen die Ratten am Stand fast über die Füße ,das geht gar nicht.	['(FOOD, NEGATIVE)', '(GENERAL-IMPRESSION, NEGATIVE)']	"['(FOOD, NEGATIVE, ""Preis"")', '(GENERAL-IMPRESSION, NEGATIVE, ""NULL"")']"
588	Ein toller Abend mit fantastischem Essen von großartiger Qualität -die Seezunge war ein Traum- und einem super Service!	['(FOOD, POSITIVE)', '(FOOD, POSITIVE)', '(SERVICE, POSITIVE)']	"['(FOOD, POSITIVE, ""Essen"")', '(FOOD, POSITIVE, ""Seezunge"")', '(SERVICE, POSITIVE, ""Service"")']"
602	Ich bin sehr enttäuscht und komme nicht wieder.	['(GENERAL-IMPRESSION, NEGATIVE)']	"['(GENERAL-IMPRESSION, NEGATIVE, ""NULL"")']"
612	Hatte ein sehniges Teil was nicht zu kauen war die anderen Gerichte waren akzeptabel aber nichts besonderes	['(FOOD, NEUTRAL)', '(FOOD, NEGATIVE)']	"['(FOOD, NEUTRAL, ""Gerichte"")', '(FOOD, NEGATIVE, ""NULL"")']"
619	Essen topp und Service auch, nur einen unmöglichen Kellner dabei, der mit den Tunneln im Ohr, der seine Kollegin ständig laut anpöbelt vor den Gäste, dass sie zu langsam sind und dich bewegen sollen usw.	['(FOOD, POSITIVE)', '(SERVICE, POSITIVE)', '(SERVICE, NEGATIVE)']	"['(FOOD, POSITIVE, ""Essen"")', '(SERVICE, POSITIVE, ""Service"")', '(SERVICE, NEGATIVE, ""Kellner"")']"
621	Ambiente toll , Essen überpreist und das man der Stiefmutter gratuliert ohne was zu hinterfragen ist schon sehr schmerzhaft .. brauch ich nicht nochmal .	['(AMBIENCE, POSITIVE)', '(PRICE, NEGATIVE)']	"['(AMBIENCE, POSITIVE, ""Ambiente"")', '(PRICE, NEGATIVE, ""Essen"")']"
635	Das Lokal war meiner Meinung nach völlig überfüllt, extrem laut, keine Unterhaltung mehr möglich.	['(AMBIENCE, NEGATIVE)']	"['(AMBIENCE, NEGATIVE, ""Lokal"")']"
640	Schöner Außenbereich	['(AMBIENCE, POSITIVE)']	"['(AMBIENCE, POSITIVE, ""Außenbereich"")']"
648	Einen Punkt Abzug gibt es für mich (wobei das Restaurant nicht wirklich was dafür kann), weil darin sehr sehr laut ist und man seinen Gegenüber schon fast anschreien muss.	['(AMBIENCE, NEGATIVE)']	"['(AMBIENCE, NEGATIVE, ""NULL"")']"
654	Ein rundum leckerer Abend.	['(FOOD, POSITIVE)']	"['(FOOD, POSITIVE, ""NULL"")']"
664	Das Steak im Hauptgang war bei beiden sehr gut.	['(FOOD, POSITIVE)']	"['(FOOD, POSITIVE, ""Steak im Hauptgang"")']"
667	Kommen immer gerne wieder nur zu empfehlen:)	['(GENERAL-IMPRESSION, POSITIVE)']	"['(GENERAL-IMPRESSION, POSITIVE, ""NULL"")']"
673	Der Service ist sehr zuvorkommend und überaus freundlich.	['(SERVICE, POSITIVE)']	"['(SERVICE, POSITIVE, ""Service"")']"
683	Service war freundlich und schnell.	['(SERVICE, POSITIVE)']	"['(SERVICE, POSITIVE, ""Service"")']"
684	Muss nicht sein, kann aber.	['(GENERAL-IMPRESSION, NEUTRAL)']	"['(GENERAL-IMPRESSION, NEUTRAL, ""NULL"")']"
699	Sehr schöne Atmosphäre, guter Hauswein, freundliches Personal, haben nur was getrunken, daher kann ich Essen nicht beurteilen.	['(AMBIENCE, POSITIVE)', '(FOOD, POSITIVE)', '(SERVICE, POSITIVE)']	"['(AMBIENCE, POSITIVE, ""Atmosphäre"")', '(FOOD, POSITIVE, ""Hauswein"")', '(SERVICE, POSITIVE, ""Personal"")']"
724	Die Kellner sind arrogant und respektlos!	['(SERVICE, NEGATIVE)']	"['(SERVICE, NEGATIVE, ""Kellner"")']"
725	Espresso geliefert ohne Milch und Zucker.	['(FOOD, NEGATIVE)']	"['(FOOD, NEGATIVE, ""Espresso"")']"
727	Essen war mittelmäßig, Preise Düsseldorfer Niveau	['(FOOD, NEUTRAL)', '(PRICE, NEUTRAL)']	"['(FOOD, NEUTRAL, ""Essen"")', '(PRICE, NEUTRAL, ""Preise"")']"
738	Nie wieder.	['(GENERAL-IMPRESSION, NEGATIVE)']	"['(GENERAL-IMPRESSION, NEGATIVE, ""NULL"")']"
754	Aber das Saure Lüngerl (eine der Spezialitäten des Hauses) war so sauer, dass es leider nicht essbar war, außerdem war es lauwarm.	['(FOOD, NEGATIVE)']	"['(FOOD, NEGATIVE, ""Saure Lüngerl"")']"
760	Glühwein wird aus dreckigen Thermoskannen für 27 Euro an der SB Theke serviert.	['(FOOD, NEGATIVE)']	"['(FOOD, NEGATIVE, ""Glühwein"")']"
784	Kompliment an das Team in der Küche.	['(SERVICE, POSITIVE)']	"['(SERVICE, POSITIVE, ""Team in der Küche"")']"
787	Ich war mit meiner Tochter dort und haben einen sehr schönen Abend verbracht.	['(GENERAL-IMPRESSION, POSITIVE)']	"['(GENERAL-IMPRESSION, POSITIVE, ""NULL"")']"
793	Sehr aufmerksame Mitarbeiter und das Essen wirklich in sehr guter Qualität.	['(SERVICE, POSITIVE)', '(FOOD, POSITIVE)']	"['(SERVICE, POSITIVE, ""Mitarbeiter"")', '(FOOD, POSITIVE, ""Essen"")']"
820	Hausgemachte Pommes sehr gut.	['(FOOD, POSITIVE)']	"['(FOOD, POSITIVE, ""Pommes"")']"
