text	labels
Muy correcta la atención, muy rápido el servicio.	['(SERVICE#GENERAL, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)']
El servicio desconoce la carta que además baja la calidad que solía tener.	['(SERVICE#GENERAL, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)']
Exquisitas las ensaladas y la carne.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, POSITIVE)']
El vino muy bueno y el postre de puding es algo delicioso aunque le sobraba casi toda la nata (de bote) que llevaba de acompañamiento; mereceria plantearse otra presentacion.	['(DRINKS#QUALITY, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(FOOD#STYLE_OPTIONS, NEGATIVE)']
Un restaurante muy tranquilo y perfecto para ocasiones especiales con la familia, etc...	['(AMBIENCE#GENERAL, POSITIVE)']
Lo recomendaremos.	['(RESTAURANT#GENERAL, POSITIVE)']
Tanto a mí como  a otras personas que la probaron no nos sentó bien.	['(FOOD#QUALITY, NEGATIVE)']
"Un ""Blue chip"" de la restauración."	['(RESTAURANT#GENERAL, POSITIVE)']
Un imprescindible de Zaragoza. 	['(RESTAURANT#GENERAL, POSITIVE)']
La localizacion es muy buena.	['(LOCATION#GENERAL, POSITIVE)']
Personal de sala muy atento y alimentos de calidad y bien cocinados.	['(SERVICE#GENERAL, POSITIVE)', '(FOOD#QUALITY, POSITIVE)']
Raciones amplias y muy abundantes.	['(FOOD#STYLE_OPTIONS, POSITIVE)']
Es muy buen restaurante.	['(RESTAURANT#GENERAL, POSITIVE)']
Los precios, depende de lo que pidas, puedes estar entre 40 y 60 euros por persona.	['(RESTAURANT#PRICES, NEUTRAL)']
-LA CARTA DE VINOS: Desgraciadamente no me considero un experto  pero dado las dimensiones tan reducidas del local, me parece una carta muy acertada.	['(DRINKS#STYLE_OPTIONS, POSITIVE)']
De segundo a elegir varios platos entre los que se encontraban bacalao, rape, solomillo, cochillino, steak tartar,…Los primeros eran centros que para degustar estaban bien, pero vamos, escasos.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#STYLE_OPTIONS, NEGATIVE)']
El ambiente muy acogedor.	['(AMBIENCE#GENERAL, POSITIVE)']
El restaurants comimos muy bien y ademas un servicio encantador y eficiente.	['(FOOD#QUALITY, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)']
No repetiremos.	['(RESTAURANT#GENERAL, NEGATIVE)']
Comida elaborada y sabrosa, cantidades generosas y servicio perfecto.	['(FOOD#QUALITY, POSITIVE)', '(FOOD#STYLE_OPTIONS, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)']
